num,stock,big,profit,p,share
1101,台泥,-0.89,-0.0581 ,43,83.66
1102,亞泥,-0.53,-0.0116 ,38.3,86.82
1103,嘉泥,-0.34,-0.0453 ,13.7,82.2
1104,建台,-0.49,0.0019 ,26.85,81.91
1108,幸福,0.28,0.0244 ,10.5,80.56
1109,信大,0.62,0.0221 ,13.9,91.02
1110,東泥,0.06,0.0844 ,16.7,94.09
1201,味全,-1.15,0.0177 ,25.85,70.48
1203,味王,0.42,0.0444 ,23.5,80.57
1210,大成,-1.5,0.0091 ,27.6,56.17
1213,大飲,0.8,0.0905 ,21.7,72.9
1215,卜蜂,1.65,0.0990 ,27.75,64.66
1216,統一,0.6,0.0215 ,52.3,89
1217,愛之味,-1.12,-0.0075 ,7.98,42.53
1218,泰山,0.26,0.0388 ,12.05,56.83
1219,福壽,-0.13,-0.0261 ,14.9,88.01
1220,台榮,-0.02,0.0345 ,10.5,81.63
1225,福懋油,0.74,-0.0721 ,20.6,89.52
1227,佳格,-0.67,0.1152 ,76.5,82.59
1229,聯華,0.64,0.0689 ,20.95,76.13
1231,聯華食,-3.14,-0.0193 ,30.5,66.12
1232,大統益,-0.53,0.0278 ,74,78.34
1233,天仁,0.03,0.0086 ,47,69.57
1234,黑松,0.35,-0.0079 ,37.85,87.95
1235,興泰,-0.07,0.0191 ,23.95,70.19
1236,宏亞,0.28,0.0309 ,25,84
1301,台塑,0.57,0.0823 ,75,85.95
1303,南亞,0.15,0.0974 ,67.6,86.21
1304,台聚,2.36,0.1853 ,16.95,63.65
1305,華夏,10.01,0.4159 ,15.15,70.5
1307,三芳,0.49,0.3460 ,39.1,84.89
1308,亞聚,2.81,0.0481 ,21.8,57.62
1309,台達化,0.03,0.1000 ,9.24,58.58
1310,台苯,-0.99,0.1186 ,14.15,34.23
1312,國喬,3.29,0.2837 ,18.1,73.94
1313,聯成,-0.39,0.1311 ,11.65,71.05
1314,中石化,2.22,0.2634 ,11.75,33.91
1315,達新,0,-0.0459 ,28.05,86.17
1316,上曜,-0.69,0.0083 ,12.2,70.43
1319,東陽,0.41,0.1892 ,38.65,76.86
1321,大洋,0.63,-0.0570 ,34.75,72.15
1323,永裕,-0.09,0.1242 ,36.65,56.14
1324,地球,-0.01,0.0522 ,14.1,64.89
1325,恆大,1.6,-0.0263 ,20.35,73.83
1326,台化,0.06,0.0131 ,69.5,89.69
1333,恩得利,-2.67,0.2038 ,9.51,38.8
1336,台翰,-0.72,0.0409 ,14,55.83
1337,F再生,0.72,0.0556 ,38.95,64.82
1338,F廣華,-0.6,-0.0476 ,94.1,69.44
1402,遠東新,-0.07,0.0450 ,32.5,92.14
1409,新纖,-0.99,0.0138 ,11.05,69.59
1410,南染,-1.41,0.0020 ,25.55,70.62
1413,宏洲,1.14,0.8968 ,6.43,57.98
1416,廣豐,-1.45,0.0942 ,18,64.87
1417,嘉裕,0.78,0.0923 ,8.52,48.54
1418,東華,0.78,0.0044 ,6.92,63.86
1419,新紡,0.08,-0.0175 ,39.3,87.02
1434,福懋,0.27,0.0629 ,32.1,87.64
1435,中福,-0.3,0.0997 ,6.29,57.96
1436,福益,0.86,-0.0477 ,46.9,87.46
1437,勤益,-0.69,-0.1425 ,18.35,66.81
1440,南紡,-0.2,0.0057 ,17.5,80.7
1441,大東,1.18,0.0795 ,10.05,57.58
1442,名軒,0.71,0.0299 ,24.1,75.02
1443,立益,0.28,-0.0493 ,6.75,76.07
1444,力麗,0.54,0.0907 ,9.5,68.82
1445,大宇,-0.76,0.0123 ,9.06,70.68
1446,宏和,0.31,-0.0575 ,27.05,78.82
1447,力鵬,1.55,0.1190 ,11.75,72.6
1449,佳和,-0.27,1.8417 ,3.95,70.09
1451,年興,0.39,0.0486 ,25.9,74.1
1453,大將,-0.6,0.0361 ,8.9,81.38
1454,台富,-1.01,0.1443 ,8.88,76.54
1456,怡華,0.04,0.1143 ,7.8,89.97
1457,宜進,-0.63,0.0889 ,8.57,63.96
1459,聯發,-0.04,0.1719 ,11.25,82.31
1460,宏遠,0.57,0.2175 ,17.35,72.63
1463,強盛,-5.19,0.1443 ,17.05,59.77
1464,得力,-3.6,0.4159 ,16,75.19
1465,偉全,0.48,0.0980 ,16.8,64.96
1466,聚隆,1.04,0.0777 ,20.8,60.43
1467,南緯,0.56,-0.0308 ,12.6,66.47
1468,昶和,0,-0.0191 ,10.25,97.19
1469,理隆,0.07,0.0040 ,12.4,92.29
1471,首利,0.26,0.0600 ,8.65,42.56
1472,三洋纖,-0.32,-0.3997 ,20.65,69.98
1473,台南,0.69,0.0609 ,27,57.75
1474,弘裕,0.81,0.1057 ,9,64.64
1475,本盟,0.04,-0.2051 ,12.4,88.15
1476,儒鴻,-1.59,0.3382 ,368,76.41
1477,聚陽,3.39,0.2444 ,193.5,61.02
1503,士電,0.18,-0.0025 ,39.85,84.48
1504,東元,-0.28,-0.0473 ,31.2,80.46
1506,正道,-1.49,0.0745 ,23.8,45.81
1507,永大,1.57,0.0820 ,75.2,80.42
1512,瑞利,-1.37,0.0307 ,6.38,49.36
1513,中興電,-0.8,0.0594 ,20.5,53.58
1514,亞力,-1.03,0.0783 ,8.95,57.07
1515,力山,0.61,-0.0644 ,10.9,73.62
1517,利奇,0.62,0.1805 ,15.7,45.01
1519,華城,-0.52,0.0471 ,15.55,68.64
1521,大億,-0.31,0.0402 ,75,79.67
1522,堤維西,-1.24,0.3483 ,22.45,64.67
1524,耿鼎,-0.76,0.0571 ,7.4,55.84
1525,江申,1.16,0.0959 ,59.4,81.96
1526,日馳,2.37,0.1532 ,14.3,60.31
1527,鑽全,1.31,0.2103 ,45.75,44.91
1528,恩德,0.35,0.0135 ,11.25,53.65
1529,樂士,0.4,-0.0585 ,3.86,54.24
1530,亞崴,-0.58,0.1321 ,47.55,78.33
1531,高林股,1.05,0.1425 ,23.25,66.88
1532,勤美,1.76,0.3451 ,32.35,71.34
1533,車王電,1.59,0.0048 ,63,71.5
1535,中宇,-0.61,0.1160 ,68.3,77.15
1536,和大,4.75,0.0991 ,61,69.15
1537,廣隆,-5.1,-0.0474 ,100.5,60.47
1538,正峰新,0.4,0.5216 ,9.16,35.22
1539,巨庭,0.1,0.4677 ,22.75,72.18
1540,喬福,-1.45,0.0727 ,24.35,47.9
1541,錩泰,-0.01,0.1129 ,17.25,85.2
1558,伸興工業,-0.32,0.0852 ,165.5,42.43
1565,精華光學,1.26,0.0282 ,510,49.72
1566,毅金工業,1.15,0.3479 ,26.15,50.55
1569,濱川企業,-0.84,-0.0311 ,21.8,53.32
1570,力肯實業,0.41,0.0640 ,15.8,51.49
1580,新麥企業,2.35,-0.0372 ,181,67.54
1582,信錦,-1.25,0.1876 ,69,61.6
1583,程泰,-0.35,0.2843 ,90.8,90.48
1589,F永冠,0.46,0.2840 ,160.5,70.69
1590,AIRTAC,2.56,0.1351 ,252,86.69
1590,F亞德,2.56,0.1351 ,252,86.69
1603,華電,-0.11,-0.0042 ,11.95,80
1604,聲寶,-0.59,0.0744 ,13,59.11
1605,華新,-0.28,-0.0312 ,9.93,67.41
1608,華榮,0.43,-0.0149 ,9.95,69.51
1609,大亞,-0.76,0.0123 ,6.58,45.87
1611,中電,0.33,-0.0227 ,10.75,71.05
1612,宏泰,1.12,0.0350 ,10.35,59.55
1613,台一,-1.08,0.0508 ,5.38,52.28
1614,三洋電,-0.27,-0.0352 ,30.15,80.81
1615,大山,1.24,0.0360 ,11.5,81.1
1616,億泰,-0.47,0.2591 ,6.95,65.39
1617,榮星,-0.17,0.0452 ,8.1,83.13
1618,合機,-0.05,0.1160 ,9.04,63.32
1626,F艾美,-1.88,-0.1972 ,28.5,78.65
1701,中化,0.25,-0.0146 ,20.25,47.14
1702,南僑,3.36,0.2803 ,61.2,73.44
1704,榮化,-0.56,0.1100 ,16.15,68.64
1707,葡萄王,-0.29,0.0039 ,129,61.23
1708,東鹼,-2.55,0.1099 ,40.4,58.14
1709,和益,-0.18,0.0000 ,12.4,75.5
1710,東聯,2.31,0.2467 ,28.55,77.06
1711,永光,0.04,0.1104 ,27.65,55.8
1712,興農,-1.56,0.0212 ,16.85,39.11
1714,和桐,0.43,-0.0098 ,10.15,55.95
1715,亞化,-1.77,0.0899 ,18.8,69.6
1717,長興,0.26,0.1364 ,33.75,78.18
1718,中纖,1.03,0.2647 ,10.75,56.58
1720,生達,-2.2,0.0630 ,38.8,62.07
1721,三晃,-1.12,0.0755 ,11.4,45.59
1722,台肥,-0.35,-0.0147 ,53.7,67.46
1723,中碳,-2.42,-0.0656 ,149.5,58.88
1724,台硝,0.96,0.0691 ,16.25,73.74
1725,元禎,0.01,0.0614 ,14.7,96.23
1726,永記,0.38,0.0423 ,83.7,84.97
1727,中華化,1.67,0.0646 ,18.95,62.2
1729,必翔,2.36,-0.0017 ,57.9,81.29
1730,花仙子,0.39,0.0173 ,29.45,64.06
1731,美吾華,1.68,0.0857 ,15.2,50.47
1732,毛寶,-1.8,-0.1204 ,14.25,60.44
1733,五鼎,0.96,0.1438 ,53.3,40.28
1734,杏輝,0.47,-0.0380 ,40.5,33.33
1735,日勝化,0.12,0.0837 ,11.65,75.19
1736,喬山,2.44,0.1888 ,83.1,82.58
1737,臺鹽,-0.35,0.0708 ,25.7,52.27
1742,台蠟,0.6,0.1118 ,28.35,51.77
1762,中化生,-1.79,-0.0172 ,31.5,54.24
1773,勝一,-1.43,0.0170 ,44.85,74.81
1781,合世生醫,1.77,0.3812 ,30.8,31.73
1784,訊聯,-0.69,0.0256 ,40.1,24.24
1785,光洋科技,-0.6,0.1123 ,26.25,42.69
1786,科妍,-1.94,0.0649 ,90.3,57.98
1787,福盈科技,1.47,0.0231 ,28.8,58.11
1788,杏昌生技,-0.9,-0.0136 ,94.2,36.63
1789,神隆,-1.77,-0.2150 ,48.2,82.77
1795,美時化學,-3.71,0.1945 ,99.5,39.15
1799,紅電醫,-0.27,0.0453 ,36.9,55.57
1802,台玻,-0.08,-0.0338 ,22.85,89.95
1805,寶徠,0.02,-0.1897 ,9.4,70.31
1806,冠軍,0.03,-0.0146 ,9.48,65.06
1809,中釉,0.49,0.0725 ,14.8,59.77
1810,和成,-0.95,0.0049 ,10.35,66.06
1813,寶利徠,0.09,-0.0554 ,30.7,44.98
1815,富喬,-1.6,-0.0087 ,11.45,49.74
1902,台紙,-0.67,-0.0090 ,11.05,61.94
1903,士紙,0.15,-0.0273 ,37.45,83.95
1904,正隆,-0.28,-0.0597 ,12.6,68.38
1905,華紙,-0.47,0.0268 ,8.82,78.31
1906,寶隆,0.2,-0.1411 ,10.65,74.62
1907,永豐餘,-0.6,0.0000 ,12.7,80.39
